"grupo","parametro","est","B","LI","LS"
"Noveno","P_1",0.653846153846154,0.0848541182902638,0.56899203555589,0.738700272136418
"Décimo","mu_2",0.466666666666667,0.08693587490806,0.379730791758607,0.553602541574727
"Undécimo","P_3",0.48,0.0984416872842511,0.381558312715749,0.578441687284251
"Noveno","mu_4",8.46153846153846,1.7960755619318,6.66546289960667,10.2576140234703
"Décimo","P_6",7.03333333333333,1.29741053289999,5.73592280043334,8.33074386623332
"Undécimo","P_1",9.72,1.79514688778439,7.92485311221561,11.5151468877844
"Noveno","mu_2",0.461538461538462,0.0889163958375587,0.372622065700903,0.55045485737602
"Décimo","P_3",0.5,0.0871297121050173,0.412870287894983,0.587129712105017
"Undécimo","mu_4",0.6,0.0965300162333452,0.503469983766655,0.696530016233345
"Noveno","P_6",3.38461538461538,0.479811258125595,2.90480412648979,3.86442664274098
"Décimo","P_1",4.53333333333333,1.52894370960327,3.00438962373006,6.06227704293661
"Undécimo","mu_2",4.92,0.901957518103055,4.01804248189694,5.82195751810305
"Noveno","P_3",0.615384615384615,0.0867735171841942,0.528611098200421,0.70215813256881
"Décimo","mu_4",0.266666666666667,0.0770604168384079,0.189606249828259,0.343727083505075
"Undécimo","P_6",0.24,0.0841529171558985,0.155847082844102,0.324152917155898
"Global","P_1",0.52957264957265,0.0496517182000904,0.479920931372559,0.57922436777274
"Global","mu_2",8.3242735042735,0.887768020469566,7.43650548380394,9.21204152474307
"Global","P_3",0.519306184012066,0.0499943263574176,0.469311857654649,0.569300510369484
"Global","mu_4",4.29425842131725,0.625054065994892,3.66920435532235,4.91931248731214
"Global","P_6",0.367702362996481,0.0453502753792023,0.322352087617278,0.413052638375683
